ImageId,BuildingId,PolygonWKT_Pix,PolygonWKT_Geo
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,0,"POLYGON ((476.88 884.61, 485.59 877.64, 490.50 883.69, 501.08 875.21, 510.57 886.91, 494.26 900.00, 489.33 900.00, 476.88 884.61))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,1,"POLYGON ((459.45 858.97, 467.41 853.09, 463.37 847.69, 473.92 839.87, 491.62 863.55, 473.11 877.25, 459.45 858.97))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,2,"POLYGON ((407.34 754.17, 434.90 780.55, 420.27 795.69, 414.77 790.43, 405.88 792.34, 390.17 783.38, 400.26 772.75, 394.62 767.35, 407.34 754.17))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,3,"POLYGON ((311.00 760.22, 318.38 746.78, 341.02 759.10, 333.64 772.54, 311.00 760.22))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,4,"POLYGON ((490.49 742.67, 509.81 731.14, 534.12 771.57, 514.79 783.07, 490.49 742.67))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,5,"POLYGON ((319.28 723.07, 339.97 698.22, 354.29 708.97, 358.58 713.28, 356.47 722.39, 351.91 738.05, 350.69 740.92, 338.71 730.61, 333.62 734.63, 327.30 731.95, 319.28 723.07))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,6,"POLYGON ((466.49 709.69, 484.26 696.45, 502.59 720.85, 484.79 734.06, 466.49 709.69))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,7,"POLYGON ((433.84 673.34, 443.90 663.96, 448.70 666.97, 452.01 665.31, 471.95 686.44, 458.26 699.25, 433.84 673.34))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,8,"POLYGON ((459.24 649.03, 467.38 641.90, 472.84 645.11, 481.72 649.79, 470.13 661.94, 459.24 649.03))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,9,"POLYGON ((403.55 643.50, 416.98 630.51, 440.36 654.44, 426.94 667.43, 403.55 643.50))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,10,"POLYGON ((369.12 614.88, 382.54 600.91, 406.33 623.54, 392.92 637.51, 369.12 614.88))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,11,"POLYGON ((24.86 585.97, 45.12 583.63, 47.43 603.64, 40.92 602.18, 32.55 604.35, 26.62 601.26, 24.86 585.97))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,12,"POLYGON ((192.24 526.97, 217.80 533.82, 210.59 560.40, 213.69 599.32, 198.64 600.50, 195.50 561.05, 183.84 557.93, 192.24 526.97))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,13,"POLYGON ((340.54 582.71, 357.91 563.11, 351.06 557.09, 379.47 525.07, 375.45 521.53, 389.78 505.40, 420.55 532.46, 360.43 600.20, 340.54 582.71))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,14,"POLYGON ((328.04 500.00, 342.08 505.49, 319.73 562.15, 305.69 556.67, 328.04 500.00))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,15,"POLYGON ((204.86 506.54, 209.61 490.74, 204.85 489.33, 208.87 476.00, 214.61 477.72, 221.47 454.99, 238.66 460.13, 223.02 511.96, 204.86 506.54))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,16,"POLYGON ((327.22 455.36, 340.03 425.56, 411.42 455.95, 398.61 485.73, 327.22 455.36))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,17,"POLYGON ((239.02 426.00, 250.66 401.97, 267.34 409.98, 255.70 434.01, 239.02 426.00))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,18,"POLYGON ((396.36 315.67, 447.39 329.15, 438.70 361.67, 387.69 348.21, 396.36 315.67))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,19,"POLYGON ((531.30 281.18, 539.07 274.27, 545.03 280.94, 556.14 271.09, 558.49 273.69, 568.18 265.10, 562.05 258.24, 569.70 251.45, 593.53 278.06, 557.28 310.19, 531.30 281.18))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,20,"POLYGON ((441.50 261.02, 461.97 220.32, 488.44 233.50, 467.96 274.20, 441.50 261.02))",1
Atlanta_nadir8_catid_10300100023BC100_743501_3728739,21,"POLYGON ((260.80 197.32, 272.78 166.62, 284.29 171.08, 274.76 195.50, 295.23 203.41, 292.77 209.67, 260.80 197.32))",1
